address_componentable_id,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
201,Banten,Tangerang,Kelapa Dua
202,Banten,Tangerang Selatan,Serpong Utara
203,Banten,Tangerang Selatan,Serpong Utara
204,Banten,Tangerang Selatan,Pondok Aren
205,Jawa Barat,Bekasi,Pondok Gede
206,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Cempaka Putih
207,Banten,Tangerang,Periuk
208,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pondok Aren
209,Banten,Tangerang,Pinang
210,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan
211,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung
212,Banten,Tangerang Selatan,Pondok Aren
213,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol petamburan
214,Jawa Barat,Bekasi,Medan Satria
215,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng
274,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pesanggrahan
275,Jawa Barat,Bogor,
276,Banten,Tangerang Selatan,Serpong
277,Jawa Barat,Bogor,Bogor Timur
278,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak
279,Daerah Khusus Ibukota Jakarta,,
280,Banten,Tangerang,Pagedangan
287,Jawa Barat,Bekasi,Pondok Melati
289,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
290,Jawa Barat,Bogor,Sukaraja
291,Daerah Khusus Ibukota Jakarta,South Jakarta City,Pesanggrahan
292,Banten,Tangerang Selatan,Setu
293,Jawa Barat,Depok,Limo
294,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng
