address_componentable_id,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
839,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit
840,Jawa Barat,Bogor,Sukaraja
841,Jawa Barat,Bekasi,Jatiasih
842,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak
843,Jawa Barat,Depok,Cinere
844,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet
845,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
846,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama
847,Banten,Tangerang Selatan,Ciputat Timur
848,Jawa Timur,Surabaya,Lakarsantri
849,Banten,Tangerang,Pasar Kemis
850,Banten,Tangerang,Larangan
851,Jawa Barat,Depok,Sawangan
852,Jambi,Jambi City,
853,Jawa Barat,Depok,Cinere
854,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan
855,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan
856,Sulawesi Selatan,Makassar,Panakkukang
857,Jawa Barat,Bandung,Baleendah
858,Jawa Barat,Ciamis,
859,Jambi,Jambi City,
862,Jawa Barat,Bekasi,Bekasi Barat
863,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
865,Banten,Tangerang Selatan,Pondok Aren
866,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung
867,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru
868,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama
869,Banten,Tangerang Selatan,Serpong
870,Jawa Barat,Kuningan,Tarumajaya
871,Jawa Barat,Depok,Beji
872,Jawa Barat,Bogor,Tanah Sereal
873,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan
874,Jawa Barat,Bekasi,Pondok Gede
875,Banten,Tangerang Selatan,Serpong
876,Banten,Tangerang Selatan,Serpong Utara
877,Banten,Tangerang Selatan,Serpong
878,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung
879,Jawa Barat,Depok,Bojongsari
880,Jawa Barat,Bogor,Citeureup
881,Jawa Barat,Cimahi,Cimahi Utara
882,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,
883,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Penjaringan
